threshold,cost,tn,fp,fn,tp,recall,precision,f1
0.1,32412,43826,12712,1970,2995,0.6032225579053374,0.19067931495511556,0.2897639318885449
0.15000000000000002,34824,50054,6484,2834,2131,0.42920443101711986,0.2473592571096924,0.3138438880706922
0.20000000000000004,38376,53122,3416,3496,1469,0.2958710976837865,0.30071647901740023,0.2982741116751269
0.25000000000000006,41569,54659,1879,3969,996,0.20060422960725074,0.34643478260869565,0.2540816326530612
0.30000000000000004,44126,55552,986,4314,651,0.1311178247734139,0.39767868051313376,0.1972129657679491
0.3500000000000001,46056,56002,536,4552,413,0.08318227593152064,0.4351949420442571,0.13966858302333446
0.40000000000000013,47299,56259,279,4702,263,0.05297079556898288,0.48523985239852396,0.09551479934628654
0.4500000000000001,48184,56394,144,4804,161,0.0324269889224572,0.5278688524590164,0.06110056925996205
0.5000000000000001,48727,56471,67,4866,99,0.019939577039274924,0.5963855421686747,0.03858896901188852
0.5500000000000002,49115,56503,35,4908,57,0.011480362537764351,0.6195652173913043,0.02254300968953925
0.6000000000000002,49385,56523,15,4937,28,0.005639476334340383,0.6511627906976745,0.011182108626198083
0.6500000000000001,49613,56535,3,4961,4,0.0008056394763343404,0.5714285714285714,0.0016090104585679806
0.7000000000000002,49621,56537,1,4962,3,0.0006042296072507553,0.75,0.0012074864157778226
0.7500000000000002,49650,56538,0,4965,0,0.0,0.0,0.0
0.8000000000000003,49650,56538,0,4965,0,0.0,0.0,0.0
0.8500000000000003,49650,56538,0,4965,0,0.0,0.0,0.0
0.9000000000000002,49650,56538,0,4965,0,0.0,0.0,0.0
